Name,Description,Can Stack,Max Stack,วัตถุดิบ 1,วัตถุดิบ 2,วัตถุดิบ 3,วัตถุดิบ 4,ได้รับ Skill,Skill UesdCount (float valueA),ได้รับ Passive1, Passive1 Value   (float valA),ได้รับ Passive2,Passive2 Value  (float valueA)
Sky Egg Lava Bun,ขนมปังนุ่มๆ ไส้ไข่ฟ้าลาวาไหลเยิ้ม,FALSE,,Bun,Sky Egg,Butter Stick,,Hop,10,,,,
Sky Egg Omelette,ออมเล็ตไข่ชีสเยิ้ม,FALSE,,Sky Egg,Cheese Leaf,,,Sky Claw,10,,,,
Cabbage Roll,โรลกะหล่ำหมูป่าราดซุบมะเขือเทศ,FALSE,,Cabbage,Tomato,Hog Meat,,Rush,10,,,,
SkyEgg Salad,สลัดไข่ฟ้า,FALSE,,Sky Egg,Lettuce,Tomato,,Sky Claw,10,,,,
Honey-Glazed Hog Ribs,ซี่โครงหมูย่างน้ำผึ้งคาราเมลหอมหวาน,FALSE,,Hog Meat,Honey,Garlic,,Rush,10,,,,
Mushroom Soup,ซุปเห็ดเรืองแสงรสหวานลึกลับ,FALSE,,Mushroom,Devil Carrot,Pure Water,,Ground Slam,10,,,,
Roast Bear Sandwich,ขนมปังเนื้อหมีอบกลิ่นกระเทียมชีสเข้ม,FALSE,,Bear Meat,Garlic,Cheese Leaf,,Ground Slam,10,,,,
Apple Salted Caramel Skewer,ผลไม้เสียบไม้ราดคาราเมลเค็มหวาน,FALSE,,Apple,Honey,Salt,,,,Heal,,,
Antler Broth,น้ำซุปเขากวางต้มตับเพิ่มพลังกล้ามเนื้อ,FALSE,,Antler,Liver,Devil Carrot,Pure Water,Thunder Bolt,10,,,,
Deer Steak,สแต็กเนื้อกว่าย่างเนยชุ่มช่ำ,FALSE,,Dear Meat,Butter Stick,Broccoli,,Thunder Call,10,,,,
Liver Heart Tart,ทาร์ตตับหวานสตรอเบอร์รี กลิ่นเข้ม,FALSE,,Liver,Strawberry,Bun,,Harden Rock,10,,,,
Shining Shell Carpaccio,หอยดิบใสเนื้อแวววาว เสิร์ฟกับเนกเตอร์ซิตรัส,FALSE,,Shell,Nectar,Salt,,Shell Defense,10,,,,
Antler Spicy Brew,ซุบเขากวางรสเผ็ดชาเปรี้ยวกำลังดี,FALSE,,Antler,Hot Chilli,Nectar,Pure Water,Thunder Bolt,10,,,,
Bear Bourguignon,สตูว์เนื้อหมีรสเห็ดเข้มข้น,FALSE,,Bear Meat,Mushroom,Garlic,,Triple Claw,10,,,,
Devil Kimchi,กิมจิผักดองปีศาจ,FALSE,,Devil Carrot,Cabbage,Salt,,,,Hot blood,9,,
Deer Lettuce Wrap,ผักห่อเนื้อกวางสับผัดเผ็ด,FALSE,,Lettuce,Dear Meat,Hot Chilli,,,,Regen body,9,Healthy body,9
Garlic Butter Shell,หอยอบเนยกระเทียม,FALSE,,Shell,Garlic,Butter Stick,,Harden Rock,10,,,,
Walking Pear Caprese,สลัดคาเปรเซ่ลูกแพร์,FALSE,,Walking Pear,Tomato,Cheese Leaf,,,,Quick body,9,,
Bacon Broccoli Quiche,คีชบรอกโคลีชีสหอมควัน,FALSE,,Bacon,Broccoli,Cheese Leaf,,,,Regen body,9,,
Strawberry Honey Cheese Cake,ชีสเค้กสตอรเบอรี่ราดด้วยน้ำผึ้ง,FALSE,,Strawberry,Honey,Cheese Leaf,,,,Oil body,9,,
Autumn Salad,สลัดฤดูใบไม้พลิหวานช่ำด้วยผลไม้รสหวานตัดเค็มด้วยเบค่อน,FALSE,,Apple,Walking Pear,Bacon,,,,Heal,9,,
Bacon Chilli Jam,แยมเผ็ดเบค่อน,FALSE,,Bacon,Hot Chilli,,,,,Hot blood,9,,
Sky Pudding,พุดดิ้งเนื้อเนียนใส เหมือนหยดน้ำฟ้ารสเปรี้ยวหวานกลมกล่อม,FALSE,,Sky Egg,Walking Pear,Nectar,Strawberry,Slide,10,,,,
