Name,Description,Hp,Drop1,Count1,Drop2,Count2,BakeType,BreakCondition,Special Drop,CountB
BunBunny,กระต่ายขนมปัง รูปร่างเหมื่อนกระต่ายแต่ร่างกายทำมาจากขนมปังนุ่มๆมีกลิ่นหอมธัญพืชอ่อนๆมักจะออกมาเดินเล่นช่วยเช้าเพื่อตากแดดเอาความร้อนจากแสงอาทิตย์ แสงแดดทำให้ผิวด้านบนของมันเป็นสีน้ำตาลเข้มและส่งกลิ่นหอมยิ่งขึ้น,7,Bun,1-3,,,แทง (V),,,
Water Slime,สิ่งมีชีวิตกึ่งของเหลวรูปทรงเหมื่อนหยดน้ำมีสีฟ่าอ่อนๆร่างกายยืดหยุ่น ร่างกายของมันเป็นน้ำสะอาดที่สามารถดื่มได้ว่ากันว่ามันเป็นตัวช่วยชีวิตสำหรับนักเดินทางหลากหลายคน,15,Pure Water,1,Pure Water,1-3,ทุบ (O),,,
Sky Chicken,หน้าตาเหมื่อนกับไก่มีปีกขนาดใหญ่สำหรับใช้ในการบินปลายขนเป็นสีฟ้าอ่อนๆ เป็นสัตว์ดุร้ายและห่วงถิ่นเมื่อพบเจอศัตรูจะทำการพุ่งเข้าโจมตีอย่างไม่ปราณี ถึงแม้จะมีปีกใหญ่สำหรับการบินแต่มันมักจะอยู่บน,10,Sky Egg,1,,,แทง (V),,,
Hog,รูปร่างเหมื่อนหมูป่าร่างกายประกอบขึ้นมาจากเบอรี่ผิวหนังเป็นสีน้ำตาลอมแดงและหนาระดับที่มีดธรรมดาไม่สามารถสร้างบาดแผลให้กับมันได้ง่ายๆเมื่อพบเจอศัตรูก็จะพุ่งโจมตีโดยไม่ลังเลและไม่สนใจสิ่งรอบข้าง,20,Hog Meat,1,,,ฟัน (X),,,
ButterFly,ก้อนเนยบินได้มีปีกเหมื่อนผีเสื้อ,1,Butter Stick,1,,,ฟัน (X),,,
Shroom Bear,หมีสีน้ำตาลขนาดใหญ่และดุร้ายบนหลังมีเห็ดดอกใหญ่ขึ้นอยู่มันเป็นสิ่งมีชีวิตห่วงถิ่นที่จะโจมตีใส่ผู้บุกรุกทันทีพลังกำลังมหาศาลสามารถสร้างคลื่นกระแทกออกไปได้เมื่อโจมตี เมื่อใกล้จะผ่ายแพ้จะคลั่งแล้วโจมตีรุนแรงมากยิ่งขึ้น,80,Bear Meat,1,,,ฟัน (X),5,Mushroom,1
Zander,กวางป่าผิวสีน้ำเงินที่เขาของมันทำหน้าที่เหมื่อนสายล่อฟ้าสามารถใช้เพื่อควบคุมสภาพอากาศได้ในระยะสั้นมันเป็นสิ่งมีชีวิตที่รักสงบและจะไม่โจมตีก่อนจนกว่าจะสัมผัสได้ถึงอันตราย,70,Dear Meat,1,,,แทง (V),5,Antler,1
Kumonga,สัตว์4ขาขนาดใหญ่ร่างกายแน่นตันรอบๆตัวมีเปลือกแข็งสีขาวนวลเหมื่อนกับหอย เป็นสิ่งมีชีวิตขี่ระแวงเมื่อพบเจออันตรายก็จะป้องกันตัวด้วยเกราะหนาๆ,80,Liver,1,,,ทุบ (O),5,Shell,1
Jumper,,,,,,,,,,
Cornmodo,,,,,,,,,,
Hawkatrice,,,,,,,,,,
Moon fang,,,,,,,,,,
