Name,Description,Drop,Count
Strawberry Bush,พุ่มสตอร์เบอร์รี่,Strawberry,1
Salt root,รากไม้ที่มีก้อนเกลือขึ้นอยู่รอบๆ,Salt,1
Lettuce Thorn,ผักกาดหนามต้นมีหนามคมทำดาเมจเมื่อเข้าไปใกล้,Lettuce,1
Tomato bomb,มะเขือเทศระเบิดต้องเก็บเกี่ยวอย่างระมัดระวังถ้าพลาดแม้แต่นิดเดียวจะจุดชนวนทำให้เกิดระเบิด,Tomato,1-2
Devil Carrot, แครอดหัวอยู่ใต้ดินเมื่อกดกินโดยที่ไม่นำไปทำอาหารจะส่งผลร้าย,Devil Carrot,1
Hot Chilli,ต้นพริกร้อนแรง,Hot Chilli,1-3
Rolling Cabbage,กะหล่ำกลิ้ง มันจะกลิ้งไปมาในพื้นที่ยากที่จะเก็บ,Cabbage,1
HealthApple Tree,ต้นแอปเปิ้ลสุขภาพดีจะออกผลเพียง1ผลต่อต้นผลของมันช่วยบำรุงร่างกายได้,Apple,1
Broccoli Tree,บรอคโคลี่ต้นยักษ์ถ้าต้องการเก็บเกี่ยวต้องโค่นมันลงมาทั้งต้น,Broccoli,2-3
Smelly Garlic,ต้นกระเทียมกลิ่นรุนแรงแค่เข้าใกล้ก็สามารถทำให้มีกลิ่นติดตัวกลิ่นติดตัว เมื่อเข้าใกล้จะทำให้ติดสถานะเคลื่อนที่ช้าลงในระยะเวลาหนึ่ง,Garlic,1-3
Cheese plant,ต้นไม้ที่ใบของมันนั้นเป็นเหมื่อนชีสแผ่น,Cheese Leaf,2-4
Bacon Rose,ดอกกุหลาบที่กลีบของมันนั้นคือเบค่อนชิ้นกำลังดี,Bacon,1
LionBee Hive,รังผึ้งสิงโตมีน้ำผึ้งชั้นดีเก็บไว้อยู่ ถ้าเก็บมันจะทำให้เหล่าผึ้งโกรธแล้วไล่โจมตี,Honey,1
Meat Eater,ต้นไม้กินเนื้อล่อสัตว์อื่นเข้ามาด้วยน้ำหวานจากนั้นก็จะงับเหยื่อจากใต้ดิน น้ำหวานของมันจะเปลี่ยนเป็นรสเปรี้ยวเหมื่อนมะนาวหากเก็บมา,Nectar,1
Walking Pear,"ลูกแพร์มีขาเมื่อเข้าไปใกล้จะเดินตามเป็นพืชที่เป็นมิตร",Walking Pear,1
