Name,Description,Can Stack,Max Stack,ได้รับ
Bun,ขนมปังนุ่มๆหอมกลิ่นธัญพืช,TRUE,99,
Pure Water,น้ำสะอาดสดชื่นสีใส่ไร้มลทิล,TRUE,99,
Sky Egg,ไข่ของไก่ฟ้าขนาดพอๆกับไข่ไก่ธรรมดาไข่แดงสีส้มสด,TRUE,99,
Hog Meat,เนื้อหมูป่า,TRUE,99,
Butter Stick,แท่งเนย,TRUE,99,
Bear Meat,เนื้อหมีเห็ด,TRUE,99,
Mushroom,เห็ดจากหลังของหมีเห็ด,TRUE,99,
Dear Meat,เนื้อกวางZander,TRUE,99,
Antler,เขากวาง,TRUE,99,
Liver,ตับที่เต็มไปด้วยสารอาหารและธาตุเหล็กของสัตว์ใหญ่,TRUE,99,
Shell,เปลือกที่เป็นเหมื่อนเกราะของKumongaภายในมีเนื้อที่เหมื่อนกับหอยทะเลอยู่,TRUE,99,
