Name,Description,Can Stack,Max Stack,ได้รับ,ValueA
Strawberry,สตอร์เบอร์รี่รสหวานช่ำสดชื่น,TRUE,99,,
Salt,ก้อนเกลือที่ได้จากการไสออกมาจากรากSalt Root,TRUE,99,,
Lettuce,ผักกาดกรุบกรอบหลังจากกำจัดหนามออกหมดจะสามารถกินได้อย่างปลอดภัย,TRUE,99,,
Tomato,มะเขือเทศจากต้นtomato bomb,TRUE,99,,
Devil Carrot,แครอตปีศาจหน้าตาเหมื่อนผักธรรมดาแต่ถ้ากินโดยยังไม่ได้นำไปปรุงจะทำให้เกิดโชคร้ายชั่วขณะ,TRUE,99,,
Hot Chilli,พริกเผ็ดร้อน เมื่อกินเข้าไปจะทำดาเมจใส่ผู้เล่นนิดหน่อย,TRUE,99,,
Cabbage,กะหล่ำกลิ้งกรีบข้างในนั้นม้วนสวยงามสัมผัสเมื่อเคี้ยวจะกรุบกรอบ,TRUE,99,,
Apple,แอปเปิ้ลจากต้นHeathAppleเต็มไปด้วยสารอาหารทีจำเป็นต่อการฟื้นฟูร่างกายจึงทำให้ทั้งต้นออกผลได้ลูกเดียว เมื่อกินจะฟื้นฟูเลือด,TRUE,99,Heal,
Broccoli,Broccoliจากต้นใหญ่ถูกหั่นออกมาเป็นชิ้นเล็กชิ้นน้อยถ้ายังไม่นำไปปรุงจะมีรสชาติที่คมและสัมพัสที่แข็งแถมกลิ่นไม้อ่อนๆ,TRUE,99,,
Garlic,กระเทียมเหม็นกลิ่นติดทนนานมีรสชาติเผ็ดๆและกลิ่นเฉพาะตัวของกระเทียมที่ฉุนมากๆถ้ายังไม่ถูกปรุง เมื่อกินจะทำให้เคลื่อนที่ช้าลงจากลิ่นความฉุน,TRUE,99,,
Cheese Leaf,ใบไม้ที่มีหน้าตาเหมื่อนชีสหั่นบางมีรสชาติเข้มข้นหอมชีส,TRUE,99,,
Bacon,ดอกจากต้นBacon Roseถึงแม้จะเรียกว่าBaconและมีหน้าตาเหมื่อนBaconรสชาติเหมื่อนBaconแต่มันเป็นผัก100%,TRUE,99,,
Honey,น้ำผึ้งจากLion Beeน้ำผึ้งมีคุณสมบัติเหมื่อนกับน้ำตาลเหลวหวานหอมกลิ่นดอกไม้,TRUE,99,,
Nectar,น้ำหวานจากต้นMeat Eaterหลังจากเก็บมาจากต้นรสของมันจะเปลี่ยนเป็นรสเปรี้ยวแบบมะนาวสีเขียวไซรับรสเปรี้ยว,TRUE,99,,
Walking Pear,ลูกแพร์เดินได้หลังจากเดินตามผู้เล่นสักพักจะสุกเมื่อสุกจะนอนแน่นิ่งพร้อมเก็บเกี่ยว เนื้อแน่นรสหวานช่ำ,TRUE,99,,
