Name,Description,Cooldown,A. Type
Hop,ใช้งานจะกระโดดไปยังพื้นที่ที่เม้าชี้ระหว่างกระโดดจะไม่โดนดาเมจ,5,กลาง
Slide,ใช้งานถ่อยหลังและพุ่งไปยังตำแหน่งที่กำหนดในระยะสั้นๆสร้างความเสียหายเมื่อชนศัตรู,5,ทุบ (O)
Sky Claw,พุ่งอย่างรวดเร็วไปในทิศทางที่ชี้ระยะสั้นๆทะลุผ่านศัตรู,5,ฟัน (X)
Rush,พุ่งไปยังตำแหน่งที่กำหนดในระยะสร้างความเสียหายเมื่อชนศัตรู,5,แทง (V)
Ground Slam,ทุบพื้นสร้างความเสียหายเป็นวงและพลักศัตรูทั่วไปออกและสตั้นศัตรูครู่นึง,5,ทุบ (O)
Triple Claw,ฟาดกงเล็บไปข้างหน้าทั้งหมด3ครั้งเป็นวงครึ่งวงกลม,5,ฟัน (X)
Thunder Bolt,เมื่อใช้งานสร้างบอลสายฟ้าหมุนรอบตัวเป็นระยะเวลาหนึ่งและทำดาเมจเมื่อชนเข้ากับศัตรู,5,แทง (V)
Thunder Call,เรียกสายฟ้าลงมาผ่าที่ต่ำแหน่งปัจจุบันหลังจากกดใช้งานเป็นพื้นที่วงกลมและผลักศัตรูออก,5,ทุบ (O)
Shell Defense,ได้รับกันดาเมจลงครึ่งนึงเป็นระยะเวลาชั่วครู่,5,กลาง
Harden Rock,กระแทกพื้นเพื่อสร้างเสาหินขึ้นมาในต่ำแหน่งที่กำหนดและทำดาเมจตรงนั้น หลังจากเวลาผ่านไปเสาหิน จะพังและทำดาเมจใส่พื้นที่รอบๆ,5,ทุบ (O)
